response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0682,0.0000,0.0000,0.0000,0.0681,0.0000,200,18.4875
0.0729,0.0000,0.0000,0.0000,0.0729,0.0001,200,18.5557
0.0676,0.0000,0.0000,0.0000,0.0675,0.0000,200,18.6287
0.0680,0.0000,0.0000,0.0000,0.0679,0.0001,200,18.6963
0.0717,0.0000,0.0000,0.0000,0.0716,0.0001,200,18.7643
0.0685,0.0000,0.0000,0.0000,0.0684,0.0000,200,18.8360
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,18.9045
0.0668,0.0000,0.0000,0.0000,0.0667,0.0000,200,18.9739
0.0678,0.0000,0.0000,0.0000,0.0676,0.0001,200,19.0407
0.0756,0.0000,0.0000,0.0000,0.0755,0.0001,200,19.1085
0.0693,0.0000,0.0000,0.0000,0.0692,0.0000,200,19.1841
0.0697,0.0000,0.0000,0.0000,0.0696,0.0001,200,19.2534
0.0707,0.0000,0.0000,0.0000,0.0707,0.0001,200,19.3231
0.0708,0.0000,0.0000,0.0000,0.0707,0.0000,200,19.3938
0.0712,0.0000,0.0000,0.0000,0.0711,0.0000,200,19.4646
0.0816,0.0000,0.0000,0.0000,0.0815,0.0000,200,19.5358
0.0814,0.0000,0.0000,0.0000,0.0814,0.0001,200,19.6174
0.0822,0.0000,0.0000,0.0000,0.0821,0.0001,200,19.6988
0.0770,0.0000,0.0000,0.0000,0.0770,0.0001,200,19.7810
0.0741,0.0000,0.0000,0.0000,0.0740,0.0000,200,19.8580
0.0720,0.0000,0.0000,0.0000,0.0720,0.0000,200,19.9321
0.0694,0.0000,0.0000,0.0000,0.0693,0.0000,200,20.0042
0.0739,0.0000,0.0000,0.0000,0.0739,0.0000,200,20.0736
0.0727,0.0000,0.0000,0.0000,0.0726,0.0001,200,20.1475
0.0713,0.0000,0.0000,0.0000,0.0712,0.0000,200,20.2202
0.0737,0.0000,0.0000,0.0000,0.0737,0.0000,200,20.2915
0.0689,0.0000,0.0000,0.0000,0.0688,0.0001,200,20.3652
0.0737,0.0000,0.0000,0.0000,0.0737,0.0000,200,20.4341
0.0697,0.0000,0.0000,0.0000,0.0696,0.0001,200,20.5078
0.0682,0.0000,0.0000,0.0000,0.0682,0.0000,200,20.5775
0.0693,0.0000,0.0000,0.0000,0.0692,0.0000,200,20.6457
0.0691,0.0000,0.0000,0.0000,0.0690,0.0000,200,20.7150
0.0735,0.0000,0.0000,0.0000,0.0734,0.0000,200,20.7841
0.0698,0.0000,0.0000,0.0000,0.0697,0.0000,200,20.8576
0.0730,0.0000,0.0000,0.0000,0.0729,0.0001,200,20.9274
0.0684,0.0000,0.0000,0.0000,0.0683,0.0000,200,21.0004
0.0696,0.0000,0.0000,0.0000,0.0695,0.0001,200,21.0688
0.0745,0.0000,0.0000,0.0000,0.0744,0.0000,200,21.1383
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,21.2128
0.0738,0.0000,0.0000,0.0000,0.0737,0.0000,200,21.2822
0.0695,0.0000,0.0000,0.0000,0.0694,0.0000,200,21.3560
0.1002,0.0000,0.0000,0.0000,0.1002,0.0000,200,21.4255
0.0628,0.0000,0.0000,0.0000,0.0627,0.0000,200,21.5257
0.0620,0.0000,0.0000,0.0000,0.0619,0.0001,200,21.5885
0.0628,0.0000,0.0000,0.0000,0.0627,0.0001,200,21.6505
0.0611,0.0000,0.0000,0.0000,0.0610,0.0000,200,21.7133
0.0621,0.0000,0.0000,0.0000,0.0620,0.0001,200,21.7744
0.0639,0.0000,0.0000,0.0000,0.0638,0.0000,200,21.8364
0.0622,0.0000,0.0000,0.0000,0.0622,0.0000,200,21.9003
0.0618,0.0000,0.0000,0.0000,0.0617,0.0001,200,21.9626
0.0609,0.0000,0.0000,0.0000,0.0608,0.0001,200,22.0243
0.0613,0.0000,0.0000,0.0000,0.0612,0.0000,200,22.0852
